season,reversal_rate,n_reversal_weeks,reversal_weeks
1,0.0,0,[]
2,0.75,3,"[1, 2, 3]"
3,0.4,2,"[1, 3]"
4,0.4,2,"[3, 4]"
5,0.5,3,"[2, 3, 4]"
6,0.2,1,[3]
7,0.2,1,[6]
8,0.3333333333333333,2,"[3, 6]"
9,0.7142857142857143,5,"[1, 2, 4, 5, 6]"
10,0.2,1,[4]
11,0.5,3,"[1, 2, 5]"
12,0.4,2,"[2, 5]"
13,0.16666666666666666,1,[3]
14,0.3333333333333333,2,"[4, 5]"
15,0.5,3,"[1, 3, 4]"
16,0.2,1,[4]
17,0.5,3,"[2, 4, 5]"
18,0.25,1,[5]
19,0.42857142857142855,3,"[1, 4, 6]"
20,0.5,3,"[2, 4, 5]"
21,0.4,2,"[6, 7]"
22,0.6,3,"[2, 3, 7]"
23,0.5,3,"[2, 3, 4]"
24,0.3333333333333333,2,"[2, 5]"
25,0.4,2,"[4, 5]"
26,0.5,1,[2]
27,0.5,3,"[1, 2, 3]"
28,0.5,2,"[2, 4]"
29,0.8,4,"[3, 4, 5, 6]"
30,0.6,3,"[3, 4, 5]"
31,0.4,2,"[2, 5]"
32,0.4,2,"[2, 3]"
33,0.0,0,[]
34,0.5,2,"[3, 4]"
