feature_type,feature_value,judge_effect,fan_effect,survival_effect,n
Pro Dancer,Alan Bersten,1.5880489611236968,-0.04030631398615803,0.2926893639482717,9
Pro Dancer,Alan Bersten (Rashad Jennings week 9),3.741516480764549,-0.18794686881761755,4.403800475059382,1
Pro Dancer,Alec Mazo,-3.4408975798415113,-0.18794686881761755,-2.7961995249406177,5
Pro Dancer,Allison Holker,5.230354170158492,-0.12334658501139337,0.40380047505938244,4
Pro Dancer,Andrea Hale,-11.167556246508177,0.5263388454680967,-5.596199524940618,1
Pro Dancer,Anna Demidova,-4.8104419607938915,0.10004969843462999,0.40380047505938244,1
Pro Dancer,Anna Trebunskaya,-3.1106154131748447,-0.1570600486684193,-1.6871086158497084,11
Pro Dancer,Artem Chigvintsev,2.6386155909136626,-0.038367290174780355,0.15380047505938244,12
Pro Dancer,Ashly DelGrosso,-7.517556246508178,0.038234079274041766,-2.8461995249406176,4
Pro Dancer,Brandon Armstrong,0.3200429598410288,0.2282394630383572,-0.9711995249406176,8
Pro Dancer,Brian Fortuna,-4.167556246508177,-0.11211346405571279,-3.5961995249406176,1
Pro Dancer,Britt Stewart,-3.779593283545214,0.6080315162232673,-1.5961995249406176,6
Pro Dancer,Charlotte Jorgensen,-0.0008895798415089473,-0.18794686881761755,-0.5961995249406176,1
Pro Dancer,Chelsie Hightower,-2.4282812465081776,-0.051886577679560314,-0.4533423820834743,7
Pro Dancer,Cheryl Burke,0.12981927066353904,0.004616550843442813,1.0438004750593821,25
Pro Dancer,Corky Ballas,-5.867556246508176,-0.08445103239166504,-1.0961995249406176,2
Pro Dancer,Damian Whitewood,-0.7390133893653221,0.21785169534890406,0.40380047505938244,1
Pro Dancer,Daniella Karagach,3.4617944028424716,0.10830565643490767,2.203800475059383,5
Pro Dancer,Daniella Karagach (Rumer Willis week 9),4.817280117128185,-0.18794686881761755,4.403800475059382,1
Pro Dancer,Derek Hough,4.537658100321465,-0.1062405328437124,3.0508592985887937,17
Pro Dancer,Dmitry Chaplin,-1.8731229131748464,-0.10649320695462673,-0.2628661916072845,3
Pro Dancer,Edyta Sliwinska,-4.7706317154836455,-0.026947042597402632,-1.323472252213345,11
Pro Dancer,Elena Grinenko,-10.367556246508176,-0.16224654920064033,-3.5961995249406176,2
Pro Dancer,Emma Slater,-0.4126381891488684,0.1381587011922771,-0.40869952494061756,16
Pro Dancer,Emma Slater/Kaitlyn Bristowe (week 9),-1.500889579841509,0.48733657789440055,2.4038004750593824,1
Pro Dancer,Ezra Sosa,-6.667556246508177,0.18705313118238245,-4.596199524940618,1
Pro Dancer,Ezra Sosa (Apolo Anton Ohno week 9),5.393043753491824,-0.18794686881761755,4.403800475059382,1
Pro Dancer,Fabian Sanchez,-1.8342229131748446,-0.18794666881761754,-0.5961995249406176,1
Pro Dancer,Gleb Savchenko,0.5331430541911253,-0.003871460930617965,-0.8269687557098484,13
Pro Dancer,Henry Byalikov,-6.167556246508177,-0.18794686881761755,-5.596199524940618,1
Pro Dancer,Inna Brayer,-5.667556246508177,-0.18794686881761755,-5.596199524940618,1
Pro Dancer,Jan Ravnik,0.26101518206325025,0.3126880518173031,0.40380047505938244,1
Pro Dancer,Jenna Johnson,-0.2123394114913424,0.046963676186819375,-0.37397730271839524,9
Pro Dancer,Jesse DeSoto,-4.167556246508177,-0.18794686881761755,-4.596199524940618,1
Pro Dancer,Jonathan Roberts,-3.5009038655557987,-0.034241649316483797,-2.5961995249406176,7
Pro Dancer,Julianne Hough,-0.606727579841511,-0.016815774115369303,1.6038004750593817,5
Pro Dancer,Karina Smirnoff,-1.6026707765306227,-0.09752683768206213,-0.09619952494061756,18
Pro Dancer,Keo Motsepe,-2.4785130366316324,-0.015611814328006207,-2.7073106360517287,9
Pro Dancer,Koko Iwasaki,-4.698806246508177,0.5142627271419784,-2.0961995249406176,2
Pro Dancer,Kym Herjavec,-0.6675562465081768,-0.1448147591129762,-2.5961995249406176,1
Pro Dancer,Kym Johnson,-1.368201042426545,-0.06673400866265415,0.04665761791652567,14
Pro Dancer,Lacey Schwimmer,-3.53185061158754,-0.15207424275033707,0.23713380839271547,6
Pro Dancer,Lindsay Arnold,1.4419245168395847,0.05846998902226894,1.3038004750593828,10
Pro Dancer,Louis van Amstel,-1.86116085689779,0.12753846809795374,-0.6871086158497084,11
Pro Dancer,Maksim Chmerkoskiy,0.9406485083937817,-0.0587560569013707,0.5214475338829114,17
Pro Dancer,Mark Ballas,2.9443324458576576,-0.04737141922438562,1.3085623798212875,21
Pro Dancer,Nick Kosovich,-2.042556246508177,0.13943408356333484,-3.5961995249406176,2
Pro Dancer,Pasha Pashkov,-1.8358498612267908,0.3681154551018492,-1.310485239226332,7
Pro Dancer,Peta Murgatroyd,-0.09645650841293829,0.1358724836081133,0.13713380839271583,15
Pro Dancer,Rylee Arnold,-0.29718587613780656,0.15115696716121838,1.4038004750593824,3
Pro Dancer,Sasha Farber,3.828586706834777,0.0044887816663276014,1.4038004750593824,12
Pro Dancer,Sharna Burgess,1.7825429392267225,-0.06167440279334391,0.18951476077366802,14
Pro Dancer,Tony Dovolani,-1.7148863576536435,-0.06917531696373465,-0.9771519058929989,21
Pro Dancer,Tristan MacManus,-4.8425562465081775,-0.04522173994964157,-2.3961995249406174,5
Pro Dancer,Tyne Stecklein,-8.50088957984151,-0.18534220215095087,-3.5961995249406176,1
Pro Dancer,Val Chmerkovskiy,0.6324437534918239,0.3016364645157158,-1.5961995249406176,1
Pro Dancer,Val Chmerkovskiy (Joey Graziadei week 9),5.96880738985546,-0.18794686881761755,4.403800475059382,1
Pro Dancer,Valentin Chmerkovskiy,4.516098467549696,-0.023207133352096315,1.719589948743593,19
Pro Dancer,Witney Carson,3.918893630836699,-0.05639255964681414,1.0466576179165257,14
Pro Dancer,Witney Carson (Xoshitl Gomez week 9),6.029407389855461,-0.18794686881761755,4.403800475059382,1
Age,Young,27.106545198723694,0.24364704811782478,8.008620689655173,116
Age,Middle,24.049438184303355,0.25438507012786177,6.7555555555555555,180
Age,Senior,21.610264508427132,0.26942466464193027,5.056,125
Industry,Actor/Actress,24.534576082476548,0.2885420175761106,6.890625,128
Industry,Athlete,24.554720666894507,0.2555936282297513,6.484210526315789,95
Industry,Model,21.87700036414566,0.2016213433130914,4.294117647058823,17
Industry,Singer/Rapper,24.340166707886823,0.18263750475437696,6.622950819672131,61
Industry,TV Personality,23.642370047166764,0.3073858826408625,6.955223880597015,67
Industry,News Anchor,24.69444,0.5163059163059163,5.666666666666667,3
Industry,Racing Driver,27.09525356060606,0.003896407092304938,8.0,4
Industry,Radio Personality,21.09722222222222,1.111111111111111e-07,4.25,4
Industry,Comedian,21.000359235209235,0.309629625766167,5.5,12
Industry,Entrepreneur,19.578125,0.07819481072268825,4.5,4
Industry,Politician,19.407396296296298,0.2829929622106597,5.0,3
Industry,Social Media Personality,31.962824675324676,0.33709709550323935,8.75,8
Country,True,24.149650623099884,0.2702347973677817,6.580821917808219,365
Country,False,24.28426254193723,0.17889072547035265,6.696428571428571,56
